"speaker","emotion","ceiling","floor","corpus","key"
"DB","DIS",269,60,"CREMA-D","DB_DIS"
"DB","FER",303,60,"CREMA-D","DB_FER"
"DB","HAP",350,60,"CREMA-D","DB_HAP"
"DB","NEU",231,60,"CREMA-D","DB_NEU"
"DB","SAD",232,60,"CREMA-D","DB_SAD"
"DC","ANG",382,60,"CREMA-D","DC_ANG"
"DC","DIS",319,60,"CREMA-D","DC_DIS"
"DC","FER",280,60,"CREMA-D","DC_FER"
"DC","HAP",448,60,"CREMA-D","DC_HAP"
"DC","NEU",240,60,"CREMA-D","DC_NEU"
"DC","SAD",231,60,"CREMA-D","DC_SAD"
"DD","ANG",511,100,"CREMA-D","DD_ANG"
"DD","DIS",404,100,"CREMA-D","DD_DIS"
"DD","FER",408,100,"CREMA-D","DD_FER"
"DD","HAP",612,100,"CREMA-D","DD_HAP"
"DD","NEU",428,100,"CREMA-D","DD_NEU"
"DD","SAD",386,100,"CREMA-D","DD_SAD"
"DE","ANG",239,60,"CREMA-D","DE_ANG"
"DE","DIS",197,60,"CREMA-D","DE_DIS"
"DE","FER",184,60,"CREMA-D","DE_FER"
"DE","HAP",311,60,"CREMA-D","DE_HAP"
"DE","NEU",192,60,"CREMA-D","DE_NEU"
"DE","SAD",168,60,"CREMA-D","DE_SAD"
"DF","ANG",358,60,"CREMA-D","DF_ANG"
"DF","DIS",340,60,"CREMA-D","DF_DIS"
"DF","FER",373,60,"CREMA-D","DF_FER"
"DF","HAP",327,60,"CREMA-D","DF_HAP"
"DF","NEU",257,60,"CREMA-D","DF_NEU"
"DF","SAD",273,60,"CREMA-D","DF_SAD"
"DG","ANG",348,60,"CREMA-D","DG_ANG"
"DG","DIS",232,60,"CREMA-D","DG_DIS"
"DG","FER",245,60,"CREMA-D","DG_FER"
"DG","HAP",264,60,"CREMA-D","DG_HAP"
"DG","NEU",227,60,"CREMA-D","DG_NEU"
"DG","SAD",169,60,"CREMA-D","DG_SAD"
"DH","ANG",378,60,"CREMA-D","DH_ANG"
"DH","DIS",241,60,"CREMA-D","DH_DIS"
"DH","FER",281,60,"CREMA-D","DH_FER"
"DH","HAP",415,60,"CREMA-D","DH_HAP"
"DH","NEU",242,60,"CREMA-D","DH_NEU"
"DH","SAD",221,60,"CREMA-D","DH_SAD"
"DI","ANG",277,60,"CREMA-D","DI_ANG"
"DI","DIS",181,60,"CREMA-D","DI_DIS"
"DI","FER",235,60,"CREMA-D","DI_FER"
"DI","HAP",371,60,"CREMA-D","DI_HAP"
"DI","NEU",210,60,"CREMA-D","DI_NEU"
"DI","SAD",216,60,"CREMA-D","DI_SAD"
"DJ","ANG",326,60,"CREMA-D","DJ_ANG"
"DJ","DIS",232,60,"CREMA-D","DJ_DIS"
"DJ","FER",205,60,"CREMA-D","DJ_FER"
"DJ","HAP",216,60,"CREMA-D","DJ_HAP"
"DJ","NEU",173,60,"CREMA-D","DJ_NEU"
"DJ","SAD",144,60,"CREMA-D","DJ_SAD"
"DK","ANG",525,60,"CREMA-D","DK_ANG"
"DK","DIS",533,60,"CREMA-D","DK_DIS"
"DK","FER",565,60,"CREMA-D","DK_FER"
"DK","HAP",707,60,"CREMA-D","DK_HAP"
"DK","NEU",412,60,"CREMA-D","DK_NEU"
"DK","SAD",403,60,"CREMA-D","DK_SAD"
"DL","ANG",346,60,"CREMA-D","DL_ANG"
"DL","DIS",255,60,"CREMA-D","DL_DIS"
"DL","FER",192,60,"CREMA-D","DL_FER"
"DL","HAP",272,60,"CREMA-D","DL_HAP"
"DL","NEU",193,60,"CREMA-D","DL_NEU"
"DL","SAD",163,60,"CREMA-D","DL_SAD"
"DM","ANG",442,60,"CREMA-D","DM_ANG"
"DM","DIS",548,60,"CREMA-D","DM_DIS"
"DM","FER",445,60,"CREMA-D","DM_FER"
"DM","HAP",422,60,"CREMA-D","DM_HAP"
"DM","NEU",347,60,"CREMA-D","DM_NEU"
"DM","SAD",355,60,"CREMA-D","DM_SAD"
"AA","ANG",508,60,"RAVDESS","AA_ANG"
"AA","CAL",206,60,"RAVDESS","AA_CAL"
"AA","DIS",450,60,"RAVDESS","AA_DIS"
"AA","FER",372,60,"RAVDESS","AA_FER"
"AA","HAP",275,60,"RAVDESS","AA_HAP"
"AA","NEU",153,60,"RAVDESS","AA_NEU"
"AA","SAD",174,60,"RAVDESS","AA_SAD"
"AA","SUR",276,60,"RAVDESS","AA_SUR"
"BB","ANG",574,100,"RAVDESS","BB_ANG"
"BB","CAL",329,100,"RAVDESS","BB_CAL"
"BB","DIS",527,100,"RAVDESS","BB_DIS"
"BB","FER",485,100,"RAVDESS","BB_FER"
"BB","HAP",465,100,"RAVDESS","BB_HAP"
"BB","NEU",541,100,"RAVDESS","BB_NEU"
"BB","SAD",369,100,"RAVDESS","BB_SAD"
"BB","SUR",626,100,"RAVDESS","BB_SUR"
"CC","ANG",456,60,"RAVDESS","CC_ANG"
"CC","CAL",315,60,"RAVDESS","CC_CAL"
"CC","DIS",327,60,"RAVDESS","CC_DIS"
"CC","FER",391,60,"RAVDESS","CC_FER"
"CC","HAP",429,60,"RAVDESS","CC_HAP"
"CC","NEU",373,60,"RAVDESS","CC_NEU"
"CC","SAD",395,60,"RAVDESS","CC_SAD"
"CC","SUR",471,60,"RAVDESS","CC_SUR"
"DD","ANG",621,100,"RAVDESS","DD_ANG"
"DD","CAL",330,100,"RAVDESS","DD_CAL"
"DD","DIS",424,100,"RAVDESS","DD_DIS"
"DD","FER",666,100,"RAVDESS","DD_FER"
"DD","HAP",553,100,"RAVDESS","DD_HAP"
"DD","NEU",360,100,"RAVDESS","DD_NEU"
"DD","SAD",755,100,"RAVDESS","DD_SAD"
"DD","SUR",782,100,"RAVDESS","DD_SUR"
"EE","ANG",552,60,"RAVDESS","EE_ANG"
"EE","CAL",179,60,"RAVDESS","EE_CAL"
"EE","DIS",288,60,"RAVDESS","EE_DIS"
"EE","FER",440,60,"RAVDESS","EE_FER"
"EE","HAP",378,60,"RAVDESS","EE_HAP"
"EE","NEU",204,60,"RAVDESS","EE_NEU"
"EE","SAD",236,60,"RAVDESS","EE_SAD"
"EE","SUR",405,60,"RAVDESS","EE_SUR"
"FF","ANG",884,100,"RAVDESS","FF_ANG"
"FF","CAL",264,100,"RAVDESS","FF_CAL"
"FF","DIS",443,100,"RAVDESS","FF_DIS"
"FF","FER",1161,100,"RAVDESS","FF_FER"
"FF","HAP",859,100,"RAVDESS","FF_HAP"
"FF","NEU",374,100,"RAVDESS","FF_NEU"
"FF","SAD",727,100,"RAVDESS","FF_SAD"
"FF","SUR",671,100,"RAVDESS","FF_SUR"
"GG","ANG",566,60,"RAVDESS","GG_ANG"
"GG","CAL",166,60,"RAVDESS","GG_CAL"
"GG","DIS",307,60,"RAVDESS","GG_DIS"
"GG","FER",449,60,"RAVDESS","GG_FER"
"GG","HAP",401,60,"RAVDESS","GG_HAP"
"GG","NEU",181,60,"RAVDESS","GG_NEU"
"GG","SAD",325,60,"RAVDESS","GG_SAD"
"GG","SUR",386,60,"RAVDESS","GG_SUR"
"HH","ANG",467,100,"RAVDESS","HH_ANG"
"HH","CAL",274,100,"RAVDESS","HH_CAL"
"HH","DIS",304,100,"RAVDESS","HH_DIS"
"HH","FER",509,100,"RAVDESS","HH_FER"
"HH","HAP",363,100,"RAVDESS","HH_HAP"
"HH","NEU",281,100,"RAVDESS","HH_NEU"
"HH","SAD",341,100,"RAVDESS","HH_SAD"
"HH","SUR",541,100,"RAVDESS","HH_SUR"
"II","ANG",637,60,"RAVDESS","II_ANG"
"II","CAL",176,60,"RAVDESS","II_CAL"
"II","DIS",148,60,"RAVDESS","II_DIS"
"II","FER",237,60,"RAVDESS","II_FER"
"II","HAP",376,60,"RAVDESS","II_HAP"
"II","NEU",238,60,"RAVDESS","II_NEU"
"II","SAD",284,60,"RAVDESS","II_SAD"
"II","SUR",176,60,"RAVDESS","II_SUR"
"JJ","ANG",477,100,"RAVDESS","JJ_ANG"
"JJ","CAL",274,100,"RAVDESS","JJ_CAL"
"JJ","DIS",395,100,"RAVDESS","JJ_DIS"
"JJ","FER",407,100,"RAVDESS","JJ_FER"
"JJ","HAP",607,100,"RAVDESS","JJ_HAP"
"JJ","NEU",292,100,"RAVDESS","JJ_NEU"
"JJ","SAD",313,100,"RAVDESS","JJ_SAD"
"JJ","SUR",438,100,"RAVDESS","JJ_SUR"
"KK","ANG",435,60,"RAVDESS","KK_ANG"
"KK","CAL",155,60,"RAVDESS","KK_CAL"
"KK","DIS",238,60,"RAVDESS","KK_DIS"
"KK","FER",369,60,"RAVDESS","KK_FER"
"KK","HAP",299,60,"RAVDESS","KK_HAP"
"KK","NEU",153,60,"RAVDESS","KK_NEU"
"KK","SAD",287,60,"RAVDESS","KK_SAD"
"KK","SUR",377,60,"RAVDESS","KK_SUR"
"LL","ANG",434,100,"RAVDESS","LL_ANG"
"LL","CAL",284,100,"RAVDESS","LL_CAL"
"LL","DIS",392,100,"RAVDESS","LL_DIS"
"LL","FER",708,100,"RAVDESS","LL_FER"
"LL","HAP",495,100,"RAVDESS","LL_HAP"
"LL","NEU",259,100,"RAVDESS","LL_NEU"
"LL","SAD",494,100,"RAVDESS","LL_SAD"
"LL","SUR",487,100,"RAVDESS","LL_SUR"
"MM","ANG",538,60,"RAVDESS","MM_ANG"
"MM","CAL",166,60,"RAVDESS","MM_CAL"
"MM","DIS",290,60,"RAVDESS","MM_DIS"
"MM","FER",380,60,"RAVDESS","MM_FER"
"MM","HAP",386,60,"RAVDESS","MM_HAP"
"MM","NEU",166,60,"RAVDESS","MM_NEU"
"MM","SAD",164,60,"RAVDESS","MM_SAD"
"MM","SUR",498,60,"RAVDESS","MM_SUR"
"NN","ANG",796,100,"RAVDESS","NN_ANG"
"NN","CAL",333,100,"RAVDESS","NN_CAL"
"NN","DIS",384,100,"RAVDESS","NN_DIS"
"NN","FER",805,100,"RAVDESS","NN_FER"
"NN","HAP",690,100,"RAVDESS","NN_HAP"
"NN","NEU",344,100,"RAVDESS","NN_NEU"
"NN","SAD",418,100,"RAVDESS","NN_SAD"
"NN","SUR",583,100,"RAVDESS","NN_SUR"
"OO","ANG",379,60,"RAVDESS","OO_ANG"
"OO","CAL",217,60,"RAVDESS","OO_CAL"
"OO","DIS",261,60,"RAVDESS","OO_DIS"
"OO","FER",279,60,"RAVDESS","OO_FER"
"OO","HAP",226,60,"RAVDESS","OO_HAP"
"OO","NEU",210,60,"RAVDESS","OO_NEU"
"OO","SAD",250,60,"RAVDESS","OO_SAD"
"OO","SUR",270,60,"RAVDESS","OO_SUR"
"PP","ANG",435,100,"RAVDESS","PP_ANG"
"PP","CAL",267,100,"RAVDESS","PP_CAL"
"PP","DIS",291,100,"RAVDESS","PP_DIS"
"PP","FER",598,100,"RAVDESS","PP_FER"
"PP","HAP",367,100,"RAVDESS","PP_HAP"
"PP","NEU",266,100,"RAVDESS","PP_NEU"
"PP","SAD",362,100,"RAVDESS","PP_SAD"
"PP","SUR",560,100,"RAVDESS","PP_SUR"
"QQ","ANG",355,60,"RAVDESS","QQ_ANG"
"QQ","CAL",157,60,"RAVDESS","QQ_CAL"
"QQ","DIS",420,60,"RAVDESS","QQ_DIS"
"QQ","FER",409,60,"RAVDESS","QQ_FER"
"QQ","HAP",404,60,"RAVDESS","QQ_HAP"
"QQ","NEU",137,60,"RAVDESS","QQ_NEU"
"QQ","SAD",193,60,"RAVDESS","QQ_SAD"
"QQ","SUR",403,60,"RAVDESS","QQ_SUR"
"RR","ANG",798,100,"RAVDESS","RR_ANG"
"RR","CAL",241,100,"RAVDESS","RR_CAL"
"RR","DIS",454,100,"RAVDESS","RR_DIS"
"RR","FER",507,100,"RAVDESS","RR_FER"
"RR","HAP",700,100,"RAVDESS","RR_HAP"
"RR","NEU",207,100,"RAVDESS","RR_NEU"
"RR","SAD",585,100,"RAVDESS","RR_SAD"
"RR","SUR",411,100,"RAVDESS","RR_SUR"
"SS","ANG",546,60,"RAVDESS","SS_ANG"
"SS","CAL",199,60,"RAVDESS","SS_CAL"
"SS","DIS",581,60,"RAVDESS","SS_DIS"
"SS","FER",651,60,"RAVDESS","SS_FER"
"SS","HAP",362,60,"RAVDESS","SS_HAP"
"SS","NEU",163,60,"RAVDESS","SS_NEU"
"SS","SAD",325,60,"RAVDESS","SS_SAD"
"SS","SUR",355,60,"RAVDESS","SS_SUR"
"TT","ANG",681,100,"RAVDESS","TT_ANG"
"TT","CAL",341,100,"RAVDESS","TT_CAL"
"TT","DIS",533,100,"RAVDESS","TT_DIS"
"TT","FER",938,100,"RAVDESS","TT_FER"
"TT","HAP",776,100,"RAVDESS","TT_HAP"
"TT","NEU",416,100,"RAVDESS","TT_NEU"
"TT","SAD",731,100,"RAVDESS","TT_SAD"
"TT","SUR",542,100,"RAVDESS","TT_SUR"
"UU","ANG",421,60,"RAVDESS","UU_ANG"
"UU","CAL",161,60,"RAVDESS","UU_CAL"
"UU","DIS",315,60,"RAVDESS","UU_DIS"
"UU","FER",210,60,"RAVDESS","UU_FER"
"UU","HAP",368,60,"RAVDESS","UU_HAP"
"UU","NEU",165,60,"RAVDESS","UU_NEU"
"UU","SAD",671,60,"RAVDESS","UU_SAD"
"UU","SUR",371,60,"RAVDESS","UU_SUR"
"VV","ANG",370,100,"RAVDESS","VV_ANG"
"VV","CAL",277,100,"RAVDESS","VV_CAL"
"VV","DIS",258,100,"RAVDESS","VV_DIS"
"VV","FER",415,100,"RAVDESS","VV_FER"
"VV","HAP",431,100,"RAVDESS","VV_HAP"
"VV","NEU",246,100,"RAVDESS","VV_NEU"
"VV","SAD",255,100,"RAVDESS","VV_SAD"
"VV","SUR",598,100,"RAVDESS","VV_SUR"
"WW","ANG",487,60,"RAVDESS","WW_ANG"
"WW","CAL",194,60,"RAVDESS","WW_CAL"
"WW","DIS",238,60,"RAVDESS","WW_DIS"
"WW","FER",230,60,"RAVDESS","WW_FER"
"WW","HAP",394,60,"RAVDESS","WW_HAP"
"WW","NEU",195,60,"RAVDESS","WW_NEU"
"WW","SAD",217,60,"RAVDESS","WW_SAD"
"WW","SUR",434,60,"RAVDESS","WW_SUR"
"XX","ANG",402,100,"RAVDESS","XX_ANG"
"XX","CAL",282,100,"RAVDESS","XX_CAL"
"XX","DIS",626,100,"RAVDESS","XX_DIS"
"XX","FER",785,100,"RAVDESS","XX_FER"
"XX","HAP",377,100,"RAVDESS","XX_HAP"
"XX","NEU",279,100,"RAVDESS","XX_NEU"
"XX","SAD",433,100,"RAVDESS","XX_SAD"
"XX","SUR",622,100,"RAVDESS","XX_SUR"
"DC","ANG",249,60,"SAVEE","DC_ANG"
"DC","DIS",258,60,"SAVEE","DC_DIS"
"DC","FER",257,60,"SAVEE","DC_FER"
"DC","HAP",317,60,"SAVEE","DC_HAP"
"DC","NEU",204,60,"SAVEE","DC_NEU"
"DC","SAD",230,60,"SAVEE","DC_SAD"
"DC","SUR",320,60,"SAVEE","DC_SUR"
"JE","ANG",306,60,"SAVEE","JE_ANG"
"JE","DIS",349,60,"SAVEE","JE_DIS"
"JE","FER",416,60,"SAVEE","JE_FER"
"JE","HAP",356,60,"SAVEE","JE_HAP"
"JE","NEU",238,60,"SAVEE","JE_NEU"
"JE","SAD",276,60,"SAVEE","JE_SAD"
"JE","SUR",433,60,"SAVEE","JE_SUR"
"JK","ANG",357,60,"SAVEE","JK_ANG"
"JK","DIS",441,60,"SAVEE","JK_DIS"
"JK","FER",451,60,"SAVEE","JK_FER"
"JK","HAP",418,60,"SAVEE","JK_HAP"
"JK","NEU",332,60,"SAVEE","JK_NEU"
"JK","SAD",280,60,"SAVEE","JK_SAD"
"JK","SUR",511,60,"SAVEE","JK_SUR"
"KL","ANG",345,60,"SAVEE","KL_ANG"
"KL","DIS",342,60,"SAVEE","KL_DIS"
"KL","FER",337,60,"SAVEE","KL_FER"
"KL","HAP",366,60,"SAVEE","KL_HAP"
"KL","NEU",326,60,"SAVEE","KL_NEU"
"KL","SAD",347,60,"SAVEE","KL_SAD"
"KL","SUR",379,60,"SAVEE","KL_SUR"
"OA","ANG",407,100,"TESS","OA_ANG"
"OA","DIS",409,100,"TESS","OA_DIS"
"OA","FER",411,100,"TESS","OA_FER"
"OA","HAP",404,100,"TESS","OA_HAP"
"OA","NEU",410,100,"TESS","OA_NEU"
"OA","SAD",402,100,"TESS","OA_SAD"
"OA","SUR",415,100,"TESS","OA_SUR"
"YA","ANG",504,100,"TESS","YA_ANG"
"YA","DIS",508,100,"TESS","YA_DIS"
"YA","FER",498,100,"TESS","YA_FER"
"YA","HAP",501,100,"TESS","YA_HAP"
"YA","NEU",498,100,"TESS","YA_NEU"
"YA","SAD",514,100,"TESS","YA_SAD"
"YA","SUR",509,100,"TESS","YA_SUR"
